Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Memory Load Efficiency(%),Eligible Warps Per Active Cycle,Global Memory Store Efficiency(%),FLOP Efficiency(Peak Single)(%),Instructions Executed,Shared Memory Efficiency(%),Instructions per warp,Executed IPC,Multiprocessor Activity(%),Achieved Occupancy,Executed Load/Store Instructions,Shared Memory Store Throughput(bytes/sec),FP Instructions(Single),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Transactions Per Request,Shared Memory Load Transactions Per Request,gld request,shared store,shared load,gst request,shared bank conflict,instructions executed
"Memcpy HtoD [sync]",100725990,159712,,,,,,,,,,1048576,6565417751,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr2<int=32>(float*, float*)",100889343,1210721,4096,1,1,32,1,1,8,256,0,,,1905028019,50,0.552,12.5,0.301,417792,22.049,102,0.469,99.726,0.157,122880,6191341062,258048,10953911110,1.857,1.769,8192,28672,53248,4096,61440,417792
"void sumKernelStr2<int=32>(float*, float*)",102100897,19716,64,1,1,32,1,1,8,256,0,,,1822064056,50,0.574,12.5,0.265,6528,22.049,102,0.483,85.265,0.155,1920,5921708185,4032,10476868327,1.857,1.769,128,448,832,64,960,6528
"void sumKernelStr2<int=32>(float*, float*)",102121451,2425,1,1,1,32,1,1,8,256,0,,,133611691,50,0.055,12.5,0.015,102,22.049,102,0.046,46.566,0.021,30,434237995,63,768267223,1.857,1.769,2,7,13,1,15,102
"Memcpy DtoH [sync]",102237897,1280,,,,,,,,,,4,3125000,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",105877361,160064,,,,,,,,,,1048576,6550979608,,,,,,,,,,,,,,,,,,,,,,,
"void sumKernelStr3<int=32>(float*, float*)",106040499,1013465,4096,1,1,32,1,1,8,256,0,,,1159175226,100,0.528,12.5,0.366,376832,37.798,92,0.515,99.663,0.155,126976,4636700906,258048,7534638973,1,1,8192,32768,53248,4096,0,376832
"void sumKernelStr3<int=32>(float*, float*)",107054798,16597,64,1,1,32,1,1,8,256,0,,,1114027333,100,0.57,12.5,0.317,5888,37.798,92,0.542,82.359,0.153,1984,4456109335,4032,7241177670,1,1,128,512,832,64,0,5888
"void sumKernelStr3<int=32>(float*, float*)",107072236,2039,1,1,1,32,1,1,8,256,0,,,76555023,100,0.051,12.5,0.016,92,37.798,92,0.048,42.527,0.021,31,306220095,63,497607655,1,1,2,8,13,1,0,92
"Memcpy DtoH [sync]",107167028,1280,,,,,,,,,,4,3125000,,,,,,,,,,,,,,,,,,,,,,,
